0_Sensory_Stimulation,2_Substance_Abuse,4_Trauma_Stress,5_Cognitive_Impairment,6_Object_Recognition,7_Body_Cycles,9_Spatial_Attention,13_Executive_Function,14_Mental_Imagery,15_Reading_Writing,17_Empathy_Interaction,20_Word_Processing,21_Contextual_Cues,22_Depression_Disorders,23_Creativity_Acupuncture,24_Encoding_Retrieval,25_Response_Inhibition,30_Multiple_Sclerosis,32_Language_Processing,34_Decision_making,40_Action_Observation,46_Hearing_Disorders,49_Cognitive_Conflict,51_Motor_Coordination,52_Sleep_Math,56_Memory_Events,58_Task_switching,60_Emotion_Processing,61_Pain_Perception,62_Developmental_Disorders,65_Emotion_face,66_Gender_Differences,67_Personality_Traits,68_Working_Memory,70_Body_perception,72_Motor_control,75_Spatial_cognition,77_Reasoning_evaluation,81_Alcohol_dependence,82_Task_performance,85_Feedback_learning,86_Auditory_processing,87_Language_comprehension,88_Motion_perception,90_Familiarity_recognition,93_Eye_movements,95_Motor_movements,97_Fear_conditioning,98_Food_weight,99_Reward_processing
-0.0010576298,0.018346725,-0.01571443,0.02214127,0.0052393507,0.004689727,0.0020826901,0.012467812,0.0009631181,0.014255321,-0.019086955,0.018781563,0.00057328056,0.0044652205,-0.012230667,0.008406462,-0.0035366379,0.015693726,-0.0029675176,0.00604031,0.0041189417,-0.008091644,-0.018266859,0.0026765962,0.023574967,0.0022805266,-0.025502522,-0.021432368,0.0019381626,0.0043454478,-0.008419766,0.010048624,0.0020231584,-0.010211741,0.0068441494,0.008435862,0.024837276,-0.0021111893,-0.0008325262,-0.0019534994,-0.01560936,0.030777518,-0.005701662,0.022722092,0.0013841995,0.021813488,0.017598981,-0.0062988247,0.003008433,0.004741668701171875
0.042776536,-0.011416428,0.014407262,0.030535992,0.02413829,0.028915403,0.013561513,0.021670986,0.038371205,0.035508845,0.017393125,0.030612143,0.0071944217,0.014182787,0.0024843544,0.04585343,0.0117520355,0.043969933,0.05909077,0.0031184857,0.047808297,0.018287458,-0.013752916,-0.00052675494,0.043359954,0.041440424,0.028340101,0.028525533,0.01393957,0.024656799,0.032066766,0.018628603,-0.006631976,0.046557795,0.038514864,0.05636533,0.06160402,0.030909896,-0.016545191,-0.022437736,0.025094625,0.02298301,0.05104345,0.011255776,0.031030217,0.036760356,0.034018144,0.010473401,0.028689992,0.028961181640625
-0.015044421,-0.015245108,-0.010926218,-0.0136012845,-0.0041024326,-0.013037048,-0.010911374,-0.010952087,-0.017791493,-0.017769217,-0.018381193,-0.015987268,-0.018919256,-0.014835704,-0.016324544,-0.015913837,-0.011098269,-0.018083021,-0.014347918,-0.012650536,-0.02360257,-0.024086755,-0.01372856,-0.019134464,-0.0068934294,-0.02451566,-0.0136078885,-0.0100359125,-0.005461058,-0.017053243,-0.0070029,-0.014609153,-0.017247563,-0.01147006,-0.016809743,-0.01823179,-0.015180089,-0.020584356,-0.01464922,-0.015171879,-0.0072221826,-0.019948391,-0.018896937,-0.014478653,-0.022078197,-0.011904798,-0.010175948,-0.008730427,-0.014761781,-0.00942230224609375
-0.032947823,-0.022585345,0.012865657,-0.010917726,-0.020095913,9.725297e-05,-0.02720482,-0.040077332,-0.0064685023,0.0098167155,-0.02562702,0.0033034561,-0.012035901,-0.036215078,-0.0078692455,0.016513228,0.0059469077,0.0064674304,-0.0046607135,-0.011679271,-0.039713267,-0.0012295707,-0.016740562,-0.015791297,0.01123344,-0.010457843,0.007861344,-0.008912318,0.00029642487,-0.023123572,-0.02921675,0.008263061,-0.019608222,0.0046702987,-0.035888076,-0.03098888,-0.024253426,-0.0030088357,-0.0065629804,0.016948333,0.013232141,-0.017668575,-0.0060623796,0.0016124506,0.0044932584,-0.004998259,-0.031969845,0.006489462,-0.0026958438,0.0033626556396484375
0.024927223,-0.008075034,0.011949219,0.004040629,-0.046818674,-0.0253363,-0.024652835,-0.010547893,-0.0008671693,-0.016467227,0.023964558,-0.024064314,-0.003814559,-0.0026914652,0.030933397,-0.04048888,0.010783201,-0.008332457,0.0021789328,-0.019104237,-0.010666393,0.039551545,-0.030509714,-0.034438733,0.025469957,-0.01834195,-0.00069712545,-0.006634556,0.047610395,-0.009152428,-0.00042877495,0.02138038,0.006178287,-0.022536812,0.0407664,0.016071178,0.0086946245,0.0014126723,-0.01994822,-0.038377814,-0.0190335,0.006211729,-0.017143773,-0.002029481,-0.030323025,-0.01473129,-0.013780953,0.009539666,0.03328221,-0.0181884765625
0.0065447483,-0.018980972,-0.009768237,-0.027615424,0.0044565545,0.014457702,0.009684458,-0.015390442,0.02816433,-0.0029202325,0.039836373,0.014569267,0.014819551,0.00048333924,0.035197143,0.00033575276,0.004785095,0.005268485,0.02452676,0.007806248,0.021729602,0.00096922246,0.018104488,0.0037641567,-0.003432663,0.04746753,0.026430534,0.0074294796,0.00084272074,-0.0204326,0.021301845,0.030022196,-0.009095914,0.006130271,-0.016792687,-0.0026125347,0.019503731,-0.015204733,-0.039021373,0.013291398,0.023756456,-0.00046717937,-0.0052168267,0.015822867,-0.0017097667,0.025390515,0.031707663,-0.01817672,-0.024340268,-0.001270294189453125
0.013916283,-0.026607392,-0.010826759,0.015214478,0.03074857,-0.014096652,-0.011573909,-0.0008491948,0.019982237,0.020535948,-0.010225715,0.01728015,5.2280695e-05,-0.0054373397,0.01462584,0.018641068,-0.016383534,-0.0064674304,-0.0028691904,-0.013292695,0.030634135,0.012770428,-0.0055612437,-0.020702861,0.045351297,0.018097607,0.014723289,0.004670177,-0.025446935,0.007627024,-0.005195175,0.012993644,-0.018472156,0.018245623,0.010754483,0.0059180153,0.02076611,0.012610838,-0.011708032,-0.014811787,-0.032037366,-0.019886775,-0.0010200932,-0.026625173,-0.021112276,0.002730678,0.0048339847,-0.018908145,0.0108743105,-0.0260467529296875
0.023814538,-0.008539117,-0.0025273093,0.008203586,0.027832758,0.016153067,0.03687292,0.023443218,0.02481183,-0.004560667,0.018553713,0.016056778,0.036083773,0.00020993064,0.010769783,0.029010536,0.030057484,0.022191238,0.007197558,0.021560496,0.046506744,0.00987078,0.023219207,0.029419856,0.036711425,0.030249555,0.031766612,0.0047924733,-0.004815004,0.005436699,0.015447095,-0.017762875,-0.009840997,0.040943757,-0.0030830654,0.0012330991,0.025531584,0.019550133,-0.003006007,0.045227565,0.03948389,0.018038275,0.014126158,0.023580445,0.018818215,0.04225365,0.03785256,0.0050305007,0.0020536154,0.018096923828125
-0.016674813,-0.054730788,0.009540904,0.0013952976,-0.025380824,-0.023970587,-0.01228552,-0.031573724,-0.010953718,-0.021911915,0.0126331495,-0.029861435,-0.01821736,-0.01847027,-0.00018327421,-0.018101616,-0.03301912,-0.008431295,-0.03609005,-0.04963891,-0.026507257,-0.01991263,-0.011552773,-0.046028372,0.020828836,0.0016941054,-0.0036674375,-0.03369254,-0.024246035,0.009965978,-0.017995825,-0.0046532857,-0.02460987,-0.0008051022,-0.013295987,-0.032968726,-0.043552022,-0.04580603,-0.027062166,-0.024870358,-0.055164095,-0.028220426,-0.053743012,-0.049590193,-0.0066320836,-0.04353116,-0.025448062,-0.021258047,-0.01971774,-0.03106689453125
0.03015066,0.019429585,0.045097288,-0.013708321,0.015614508,0.02185138,-0.001045946,0.005301152,0.029442266,0.0133010205,0.050595332,0.02453698,0.011637096,0.05629587,0.022303982,0.04309623,0.026040368,0.012565293,0.011154248,0.0019776498,0.065141186,0.02785031,0.011780094,0.01113563,0.012983897,0.0032497502,-0.00048464158,0.012932798,0.013445528,0.033731002,0.018500684,0.025430748,0.035734475,0.031151455,0.0038890122,0.030128079,-0.021555094,0.01948341,0.021601118,0.030087693,0.019978093,0.028189618,0.018555613,-0.013401661,0.018180016,0.015194387,0.026578723,0.045597423,-0.002226013,0.03302001953125
