89																							1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66
Study	Subtraction	Contrast	Scan	CoorSystem	Subjects	Women	Gender	Software	FixedRandom	x	y	z	zscore	tscore	pthreshold	pcorrection	Region	BA	Design	ROI	Notes	Confound	Perceptu	Abstract	Dontkn	Verbal	Eyesgaz	Faces	Bodyst	Physical	Implied	Imagess	Pointli	Geometri	Self	NotSelf	Other	Other	Other	AnyOther	Cognitiv	Affectiv	Trait	Positive	Negative	Neutral	Pain	Intentio	Familiar	Similar	Affectiv	Perceptu	Desires	Traits	Intentio	Cognitiv	Notame	YesEx	NoInd	NoPas	Epsiodic	Episodic	Semantic	Semantic	Semantic	Resting	RT	Accuracy	SelfMent	OtheMent	SelfMInx	AffecNot	SelfAffx	SelfTrtX	OtheTrtX	SelOthTr	OtheAffx	SelfOthe	IsMental	IsExplic	TopBotto	SelfTopX	AffTrait	SelfAffT	Baseline	SelfOthB	AffTraiB	SelAffTB
Aichorn_2006	other__vs__self	1	fMRI	MNI	18	10	b	SPM2	random	-45	-42	39	4.06	NaN	0.001	uncorrected	parietal_inf	NaN	block	NaN	NaN	11	no	no	no	no	yes	yes	yes	no	no	no	no	no	no	yes	no	no	yes	yes	yes	no	no	no	no	no	no	no	no	no	no	yes	no	no	no	no	no	yes	no	no	no	no	no	no	no	no	yes	yes	na	na	na	na	CoacOrNa	CoacOrNa	CoacOrNa	na	CoacOrNa	anyother	na	Explicit	CoacOrNa	CoacOrNa	CoacOrNa	CoacOrNa	NotBaseL	anyother	na	na
Aichorn_2006	relative_perspective__vs__independent_perspective	2	fMRI	MNI	18	10	b	SPM2	random	-48	-48	30	3.49	NaN	0.001	uncorrected	tpj	NaN	block	NaN	NaN	14	yes	no	no	yes	yes	yes	yes	no	no	yes	no	yes	yes	yes	no	no	yes	yes	yes	no	no	no	no	no	no	no	no	no	no	yes	no	no	no	no	no	yes	no	no	no	no	no	no	no	no	yes	yes	na	na	na	na	CoacOrNa	CoacOrNa	CoacOrNa	na	CoacOrNa	coact	na	Explicit	CoacOrNa	CoacOrNa	CoacOrNa	CoacOrNa	NotBaseL	coact	na	na
Aichorn_2006	effect_of_camera__vs_scene	3	fMRI	MNI	18	10	b	SPM2	random	51	-45	35	3.66	NaN	0.001	uncorrected	supramarginal	NaN	block	NaN	NaN	6	no	no	no	no	yes	no	no	no	no	no	no	no	no	yes	no	no	yes	yes	yes	no	no	no	no	no	no	no	no	no	no	yes	no	no	no	no	no	yes	no	no	no	no	no	no	no	no	yes	yes	na	na	na	na	CoacOrNa	CoacOrNa	CoacOrNa	na	CoacOrNa	anyother	na	Explicit	CoacOrNa	CoacOrNa	CoacOrNa	CoacOrNa	NotBaseL	anyother	na	na
Aichorn_2006	effect_of_camera__vs_scene	3	fMRI	MNI	18	10	b	SPM2	random	-36	-75	21	5.41	NaN	0.001	uncorrected	occipital_mid	NaN	block	NaN	NaN	6	no	no	no	no	yes	no	no	no	no	no	no	no	no	yes	no	no	yes	yes	yes	no	no	no	no	no	no	no	no	no	no	yes	no	no	no	no	no	yes	no	no	no	no	no	no	no	no	yes	yes	na	na	na	na	CoacOrNa	CoacOrNa	CoacOrNa	na	CoacOrNa	anyother	na	Explicit	CoacOrNa	CoacOrNa	CoacOrNa	CoacOrNa	NotBaseL	anyother	na	na
Baron_Cohen_1999	theory_of_mind_task	4	fMRI	T88	12	6	b	NaN	NaN	-26	-11	-7	NaN	NaN	NaN	NaN	L_Amygdala	NaN	block	NaN	NaN	6	no	no	no	no	no	no	no	no	no	no	no	no	no	yes	no	no	yes	yes	no	no	no	no	no	no	no	no	no	no	yes	no	no	no	no	yes	no	yes	no	no	no	no	no	no	no	no	no	no	na	OtheMent	OtheMent	NoAffMen	CoacOrNa	CoacOrNa	OtheNTra	OtheNTra	CoacOrNa	anyother	MentalSt	Explicit	CoacOrNa	CoacOrNa	affectiv	otheraff	NotBaseL	anyother	affectiv	otheraff
Baron_Cohen_1999	theory_of_mind_task	4	fMRI	T88	12	6	b	NaN	NaN	20	-8	-7	NaN	NaN	NaN	NaN	R_Amygdala	NaN	block	NaN	NaN	6	no	no	no	no	no	no	no	no	no	no	no	no	no	yes	no	no	yes	yes	no	no	no	no	no	no	no	no	no	no	yes	no	no	no	no	yes	no	yes	no	no	no	no	no	no	no	no	no	no	na	OtheMent	OtheMent	NoAffMen	CoacOrNa	CoacOrNa	OtheNTra	OtheNTra	CoacOrNa	anyother	MentalSt	Explicit	CoacOrNa	CoacOrNa	affectiv	otheraff	NotBaseL	anyother	affectiv	otheraff
Baron_Cohen_1999	theory_of_mind_task	4	fMRI	T88	12	6	b	NaN	NaN	-26	-67	31	NaN	NaN	NaN	NaN	L_Angular_gyrus	19	block	NaN	NaN	6	no	no	no	no	no	no	no	no	no	no	no	no	no	yes	no	no	yes	yes	no	no	no	no	no	no	no	no	no	no	yes	no	no	no	no	yes	no	yes	no	no	no	no	no	no	no	no	no	no	na	OtheMent	OtheMent	NoAffMen	CoacOrNa	CoacOrNa	OtheNTra	OtheNTra	CoacOrNa	anyother	MentalSt	Explicit	CoacOrNa	CoacOrNa	affectiv	otheraff	NotBaseL	anyother	affectiv	otheraff
Baron_Cohen_1999	theory_of_mind_task	4	fMRI	T88	12	6	b	NaN	NaN	23	-56	-13	NaN	NaN	NaN	NaN	R_Cerebellum	NaN	block	NaN	NaN	6	no	no	no	no	no	no	no	no	no	no	no	no	no	yes	no	no	yes	yes	no	no	no	no	no	no	no	no	no	no	yes	no	no	no	no	yes	no	yes	no	no	no	no	no	no	no	no	no	no	na	OtheMent	OtheMent	NoAffMen	CoacOrNa	CoacOrNa	OtheNTra	OtheNTra	CoacOrNa	anyother	MentalSt	Explicit	CoacOrNa	CoacOrNa	affectiv	otheraff	NotBaseL	anyother	affectiv	otheraff
Baron_Cohen_1999	theory_of_mind_task	4	fMRI	T88	12	6	b	NaN	NaN	-14	-78	-13	NaN	NaN	NaN	NaN	L_Cerebellum	NaN	block	NaN	NaN	6	no	no	no	no	no	no	no	no	no	no	no	no	no	yes	no	no	yes	yes	no	no	no	no	no	no	no	no	no	no	yes	no	no	no	no	yes	no	yes	no	no	no	no	no	no	no	no	no	no	na	OtheMent	OtheMent	NoAffMen	CoacOrNa	CoacOrNa	OtheNTra	OtheNTra	CoacOrNa	anyother	MentalSt	Explicit	CoacOrNa	CoacOrNa	affectiv	otheraff	NotBaseL	anyother	affectiv	otheraff
Baron_Cohen_1999	theory_of_mind_task	4	fMRI	T88	12	6	b	NaN	NaN	6	3	42	NaN	NaN	NaN	NaN	R_Cingulate_gyrus	24	block	NaN	NaN	6	no	no	no	no	no	no	no	no	no	no	no	no	no	yes	no	no	yes	yes	no	no	no	no	no	no	no	no	no	no	yes	no	no	no	no	yes	no	yes	no	no	no	no	no	no	no	no	no	no	na	OtheMent	OtheMent	NoAffMen	CoacOrNa	CoacOrNa	OtheNTra	OtheNTra	CoacOrNa	anyother	MentalSt	Explicit	CoacOrNa	CoacOrNa	affectiv	otheraff	NotBaseL	anyother	affectiv	otheraff
Baron_Cohen_1999	theory_of_mind_task	4	fMRI	T88	12	6	b	NaN	NaN	-3	36	-2	NaN	NaN	NaN	NaN	L_Cingulate_gyrus	24	block	NaN	NaN	6	no	no	no	no	no	no	no	no	no	no	no	no	no	yes	no	no	yes	yes	no	no	no	no	no	no	no	no	no	no	yes	no	no	no	no	yes	no	yes	no	no	no	no	no	no	no	no	no	no	na	OtheMent	OtheMent	NoAffMen	CoacOrNa	CoacOrNa	OtheNTra	OtheNTra	CoacOrNa	anyother	MentalSt	Explicit	CoacOrNa	CoacOrNa	affectiv	otheraff	NotBaseL	anyother	affectiv	otheraff
Baron_Cohen_1999	theory_of_mind_task	4	fMRI	T88	12	6	b	NaN	NaN	-3	-44	37	NaN	NaN	NaN	NaN	L_Cingulate_gyrus	31	block	NaN	NaN	6	no	no	no	no	no	no	no	no	no	no	no	no	no	yes	no	no	yes	yes	no	no	no	no	no	no	no	no	no	no	yes	no	no	no	no	yes	no	yes	no	no	no	no	no	no	no	no	no	no	na	OtheMent	OtheMent	NoAffMen	CoacOrNa	CoacOrNa	OtheNTra	OtheNTra	CoacOrNa	anyother	MentalSt	Explicit	CoacOrNa	CoacOrNa	affectiv	otheraff	NotBaseL	anyother	affectiv	otheraff
Baron_Cohen_1999	theory_of_mind_task	4	fMRI	T88	12	6	b	NaN	NaN	0	-33	31	NaN	NaN	NaN	NaN	R_Cingulate_gyrus	31	block	NaN	NaN	6	no	no	no	no	no	no	no	no	no	no	no	no	no	yes	no	no	yes	yes	no	no	no	no	no	no	no	no	no	no	yes	no	no	no	no	yes	no	yes	no	no	no	no	no	no	no	no	no	no	na	OtheMent	OtheMent	NoAffMen	CoacOrNa	CoacOrNa	OtheNTra	OtheNTra	CoacOrNa	anyother	MentalSt	Explicit	CoacOrNa	CoacOrNa	affectiv	otheraff	NotBaseL	anyother	affectiv	otheraff
