labels,label_descriptions,labels_2,labels_3,labels_4,labels_5
Ctx_V1_L,Primary visual cortex (Left),Ctx_V1_L,,,Glasser2016+Petre2023_vol_proj
Ctx_MST_L,Medial superior temporal area (Left),Ctx_MST_L,,,Glasser2016+Petre2023_vol_proj
Ctx_V6_L,sixth visual area (Left),Ctx_V6_L,,,Glasser2016+Petre2023_vol_proj
Ctx_V2_L,second visual area (Left),Ctx_V2_L,,,Glasser2016+Petre2023_vol_proj
Ctx_V3_L,third visual area (Left),Ctx_V3_L,,,Glasser2016+Petre2023_vol_proj
Ctx_V4_L,fourth visual area (Left),Ctx_V4_L,,,Glasser2016+Petre2023_vol_proj
Ctx_V8_L,eighth visual area (Left),Ctx_V8_L,,,Glasser2016+Petre2023_vol_proj
Ctx_4_L,primary motor cortex (Left),Ctx_4_L,,,Glasser2016+Petre2023_vol_proj
Ctx_3b_L,primary sensory cortex (Left),Ctx_3b_L,,,Glasser2016+Petre2023_vol_proj
Ctx_FEF_L,frontal eye fields (Left),Ctx_FEF_L,,,Glasser2016+Petre2023_vol_proj
Ctx_PEF_L,premotor eye field (Left),Ctx_PEF_L,,,Glasser2016+Petre2023_vol_proj
Ctx_55b_L,area 55b (Left),Ctx_55b_L,,,Glasser2016+Petre2023_vol_proj
Ctx_V3A_L,area V3A (Left),Ctx_V3A_L,,,Glasser2016+Petre2023_vol_proj
Ctx_RSC_L,RetroSplenial Complex (Left),Ctx_RSC_L,,,Glasser2016+Petre2023_vol_proj
Ctx_POS2_L,Parieto-Occipital Sulcus Area 2 (Left),Ctx_POS2_L,,,Glasser2016+Petre2023_vol_proj
Ctx_V7_L,Seventh Visual Area (Left),Ctx_V7_L,,,Glasser2016+Petre2023_vol_proj
Ctx_IPS1_L,IntraParietal Sulcus Area 1 (Left),Ctx_IPS1_L,,,Glasser2016+Petre2023_vol_proj
Ctx_FFC_L,Fusiform Face Complex (Left),Ctx_FFC_L,,,Glasser2016+Petre2023_vol_proj
Ctx_V3B_L,Area V3B (Left),Ctx_V3B_L,,,Glasser2016+Petre2023_vol_proj
Ctx_LO1_L,Area Lateral Occipital 1 (Left),Ctx_LO1_L,,,Glasser2016+Petre2023_vol_proj
Ctx_LO2_L,Area Lateral Occipital 2 (Left),Ctx_LO2_L,,,Glasser2016+Petre2023_vol_proj
Ctx_PIT_L,Posterior InferoTemporal (Left),Ctx_PIT_L,,,Glasser2016+Petre2023_vol_proj
Ctx_MT_L,Middle Temporal Area (Left),Ctx_MT_L,,,Glasser2016+Petre2023_vol_proj
Ctx_A1_L,Primary Auditory Cortex (Left),Ctx_A1_L,,,Glasser2016+Petre2023_vol_proj
Ctx_PSL_L,PeriSylvian Language Area (Left),Ctx_PSL_L,,,Glasser2016+Petre2023_vol_proj
Ctx_SFL_L,Superior Frontal Language Area (Left),Ctx_SFL_L,,,Glasser2016+Petre2023_vol_proj
Ctx_PCV_L,PreCuneus Visual Area (Left),Ctx_PCV_L,,,Glasser2016+Petre2023_vol_proj
Ctx_STV_L,Superior Temporal Visual Area (Left),Ctx_STV_L,,,Glasser2016+Petre2023_vol_proj
Ctx_7Pm_L,Medial Area 7P (Left),Ctx_7Pm_L,,,Glasser2016+Petre2023_vol_proj
Ctx_7m_L,Area 7m (Left),Ctx_7m_L,,,Glasser2016+Petre2023_vol_proj
Ctx_POS1_L,Parieto-Occipital Sulcus Area 1 (Left),Ctx_POS1_L,,,Glasser2016+Petre2023_vol_proj
Ctx_23d_L,Area 23d (Left),Ctx_23d_L,,,Glasser2016+Petre2023_vol_proj
Ctx_v23ab_L,Area ventral 23 a+b (Left),Ctx_v23ab_L,,,Glasser2016+Petre2023_vol_proj
Ctx_d23ab_L,Area dorsal 23 a+ (Left),Ctx_d23ab_L,,,Glasser2016+Petre2023_vol_proj
Ctx_31pv_L,Area 31p ventral (Left),Ctx_31pv_L,,,Glasser2016+Petre2023_vol_proj
Ctx_5m_L,Area 5m (Left),Ctx_5m_L,,,Glasser2016+Petre2023_vol_proj
Ctx_5mv_L,Area 5m ventral (Left),Ctx_5mv_L,,,Glasser2016+Petre2023_vol_proj
Ctx_23c_L,Area 23c (Left),Ctx_23c_L,,,Glasser2016+Petre2023_vol_proj
Ctx_5L_L,Area 5L (Left),Ctx_5L_L,,,Glasser2016+Petre2023_vol_proj
Ctx_24dd_L,Dorsal Area 24d (Left),Ctx_24dd_L,,,Glasser2016+Petre2023_vol_proj
Ctx_24dv_L,Ventral Area 24d (Left),Ctx_24dv_L,,,Glasser2016+Petre2023_vol_proj
Ctx_7AL_L,Lateral Area 7A (Left),Ctx_7AL_L,,,Glasser2016+Petre2023_vol_proj
Ctx_SCEF_L,Supplementary and Cingulate Eye Field (Left),Ctx_SCEF_L,,,Glasser2016+Petre2023_vol_proj
Ctx_6ma_L,Area 6m anterior (Left),Ctx_6ma_L,,,Glasser2016+Petre2023_vol_proj
Ctx_7Am_L,Medial Area 7A (Left),Ctx_7Am_L,,,Glasser2016+Petre2023_vol_proj
Ctx_7PL_L,Lateral Area 7P (Left),Ctx_7PL_L,,,Glasser2016+Petre2023_vol_proj
Ctx_7PC_L,Area 7PC (Left),Ctx_7PC_L,,,Glasser2016+Petre2023_vol_proj
Ctx_LIPv_L,Area Lateral IntraParietal ventral (Left),Ctx_LIPv_L,,,Glasser2016+Petre2023_vol_proj
Ctx_VIP_L,Ventral IntraParietal Complex (Left),Ctx_VIP_L,,,Glasser2016+Petre2023_vol_proj
Ctx_MIP_L,Medial IntraParietal Area (Left),Ctx_MIP_L,,,Glasser2016+Petre2023_vol_proj
Ctx_1_L,Area 1 (Left),Ctx_1_L,,,Glasser2016+Petre2023_vol_proj
Ctx_2_L,Area 2 (Left),Ctx_2_L,,,Glasser2016+Petre2023_vol_proj
Ctx_3a_L,Area 3a (Left),Ctx_3a_L,,,Glasser2016+Petre2023_vol_proj
Ctx_6d_L,Dorsal area 6 (Left),Ctx_6d_L,,,Glasser2016+Petre2023_vol_proj
Ctx_6mp_L,Area 6mp (Left),Ctx_6mp_L,,,Glasser2016+Petre2023_vol_proj
Ctx_6v_L,Ventral Area 6 (Left),Ctx_6v_L,,,Glasser2016+Petre2023_vol_proj
Ctx_p24pr_L,Area Posterior 24 prime (Left),Ctx_p24pr_L,,,Glasser2016+Petre2023_vol_proj
Ctx_33pr_L,Area 33 prime (Left),Ctx_33pr_L,,,Glasser2016+Petre2023_vol_proj
Ctx_a24pr_L,Anterior 24 prime (Left),Ctx_a24pr_L,,,Glasser2016+Petre2023_vol_proj
Ctx_p32pr_L,Area p32 prime (Left),Ctx_p32pr_L,,,Glasser2016+Petre2023_vol_proj
Ctx_a24_L,Area a24 (Left),Ctx_a24_L,,,Glasser2016+Petre2023_vol_proj
Ctx_d32_L,Area dorsal 32 (Left),Ctx_d32_L,,,Glasser2016+Petre2023_vol_proj
Ctx_8BM_L,Area 8BM (Left),Ctx_8BM_L,,,Glasser2016+Petre2023_vol_proj
Ctx_p32_L,Area p32 (Left),Ctx_p32_L,,,Glasser2016+Petre2023_vol_proj
Ctx_10r_L,Area 10r (Left),Ctx_10r_L,,,Glasser2016+Petre2023_vol_proj
Ctx_47m_L,Area 47m (Left),Ctx_47m_L,,,Glasser2016+Petre2023_vol_proj
Ctx_8Av_L,Area 8Av (Left),Ctx_8Av_L,,,Glasser2016+Petre2023_vol_proj
Ctx_8Ad_L,Area 8Ad (Left),Ctx_8Ad_L,,,Glasser2016+Petre2023_vol_proj
Ctx_9m_L,Area 9 Middle (Left),Ctx_9m_L,,,Glasser2016+Petre2023_vol_proj
Ctx_8BL_L,Area 88 Lateral (Left),Ctx_8BL_L,,,Glasser2016+Petre2023_vol_proj
Ctx_9p_L,Area 9 Posterior (Left),Ctx_9p_L,,,Glasser2016+Petre2023_vol_proj
Ctx_10d_L,Area 10d (Left),Ctx_10d_L,,,Glasser2016+Petre2023_vol_proj
